rank,superfamily_scientific,family_scientific,family_common,subfamily_scientific,genus_scientific,species_scientific,species_common
genus,tischerioidea,tischeriidae,mínovníkovité,,coptotriche,,
species,tischerioidea,tischeriidae,mínovníkovité,,coptotriche,coptotriche marginea,mínovník černicový
species,tischerioidea,tischeriidae,mínovníkovité,,coptotriche,coptotriche szoecsi,mínovník Szőcsov
species,tischerioidea,tischeriidae,mínovníkovité,,coptotriche,coptotriche heinemanni,mínovník Heinemannov
species,tischerioidea,tischeriidae,mínovníkovité,,coptotriche,coptotriche gaunacella,mínovník trnkový
species,tischerioidea,tischeriidae,mínovníkovité,,coptotriche,coptotriche angusticollella,mínovník ružový
superfamily,tineoidea,,,,,,
family,tineoidea,meessiidae,drobnomoľkovité,,,,
genus,tineoidea,meessiidae,drobnomoľkovité,,eudarcia,,
species,tineoidea,meessiidae,drobnomoľkovité,,eudarcia,eudarcia pagenstecherella,moľa Pagenstecherova
species,tineoidea,meessiidae,drobnomoľkovité,,eudarcia,eudarcia kasyi,moľa Kasyova
genus,tineoidea,meessiidae,drobnomoľkovité,,matratinea,,
species,tineoidea,meessiidae,drobnomoľkovité,,matratinea,matratinea rufulicaput,moľa drobná
family,tineoidea,psychidae,vreckovcovité,,,,
subfamily,tineoidea,psychidae,vreckovcovité,eumasiinae,,,
genus,tineoidea,psychidae,vreckovcovité,eumasiinae,eumasia,,
species,tineoidea,psychidae,vreckovcovité,eumasiinae,eumasia,eumasia parietariella,vreckovec múrový
subfamily,tineoidea,psychidae,vreckovcovité,naryciinae,,,
genus,tineoidea,psychidae,vreckovcovité,naryciinae,narycia,,
species,tineoidea,psychidae,vreckovcovité,naryciinae,narycia,narycia duplicella,vreckovec záhradný
species,tineoidea,psychidae,vreckovcovité,naryciinae,narycia,narycia astrella,vreckovec riasový
genus,tineoidea,psychidae,vreckovcovité,naryciinae,diplodoma,,
species,tineoidea,psychidae,vreckovcovité,naryciinae,diplodoma,diplodoma laichartingella,vreckovec Laichartingov
species,tineoidea,psychidae,vreckovcovité,naryciinae,diplodoma,diplodoma adspersella,vreckovec poprášený
subfamily,tineoidea,psychidae,vreckovcovité,naryciinae,,,
genus,tineoidea,psychidae,vreckovcovité,naryciinae,dahlica,,
species,tineoidea,psychidae,vreckovcovité,naryciinae,dahlica,dahlica triquetrella,vreckovec trojklanný
species,tineoidea,psychidae,vreckovcovité,naryciinae,dahlica,dahlica lichenella,vreckovec lišajníkový
species,tineoidea,psychidae,vreckovcovité,naryciinae,dahlica,dahlica charlottae,vreckovec Šarlotin
species,tineoidea,psychidae,vreckovcovité,naryciinae,dahlica,dahlica nickerlii,vreckovec Nickerlov
species,tineoidea,psychidae,vreckovcovité,naryciinae,dahlica,dahlica wockii,vreckovec Wockeho
species,tineoidea,psychidae,vreckovcovité,naryciinae,dahlica,dahlica latisquama,vreckovec širokošupinový
species,tineoidea,psychidae,vreckovcovité,naryciinae,dahlica,dahlica herrmanni,vreckovec Herrmannov
species,tineoidea,psychidae,vreckovcovité,naryciinae,dahlica,dahlica ilonae,vreckovec Ilonin
species,tineoidea,psychidae,vreckovcovité,naryciinae,dahlica,dahlica listerella,vreckovec borinný
species,tineoidea,psychidae,vreckovcovité,naryciinae,dahlica,dahlica mannii,vreckovec Mannov
species,tineoidea,psychidae,vreckovcovité,naryciinae,dahlica,dahlica clathrella,vreckovec lišajníkový
subfamily,tineoidea,psychidae,vreckovcovité,taleporiinae,,,
genus,tineoidea,psychidae,vreckovcovité,taleporiinae,taleporia,,
species,tineoidea,psychidae,vreckovcovité,taleporiinae,taleporia,taleporia tubulosa,vreckovec rúrkový
species,tineoidea,psychidae,vreckovcovité,taleporiinae,taleporia,taleporia politella,vreckovec machový
subfamily,tineoidea,psychidae,vreckovcovité,typhoniinae,,,
genus,tineoidea,psychidae,vreckovcovité,typhoniinae,typhonia,,
species,tineoidea,psychidae,vreckovcovité,typhoniinae,typhonia,typhonia ciliaris,vreckovec smútočný
species,tineoidea,psychidae,vreckovcovité,typhoniinae,typhonia,typhonia melana,vreckovec čierny
subfamily,tineoidea,psychidae,vreckovcovité,psychinae,,,
genus,tineoidea,psychidae,vreckovcovité,psychinae,psyche,,
species,tineoidea,psychidae,vreckovcovité,psychinae,psyche,psyche casta,vreckovec stromový
species,tineoidea,psychidae,vreckovcovité,psychinae,psyche,psyche crassiorella,vreckovec bilinný
genus,tineoidea,psychidae,vreckovcovité,psychinae,proutia,,
species,tineoidea,psychidae,vreckovcovité,psychinae,proutia,proutia betulina,vreckovec brezový
genus,tineoidea,psychidae,vreckovcovité,psychinae,bacotia,,
species,tineoidea,psychidae,vreckovcovité,psychinae,bacotia,bacotia claustrella,vreckovec plotový
subfamily,tineoidea,psychidae,vreckovcovité,epichnopteriginae,,,
genus,tineoidea,psychidae,vreckovcovité,epichnopteriginae,epichnopterix,,
species,tineoidea,psychidae,vreckovcovité,epichnopteriginae,epichnopterix,epichnopterix plumella,vreckovec malý
species,tineoidea,psychidae,vreckovcovité,epichnopteriginae,epichnopterix,epichnopterix sieboldii,vreckovec Sieboldov
genus,tineoidea,psychidae,vreckovcovité,epichnopteriginae,whittleia,,
species,tineoidea,psychidae,vreckovcovité,epichnopteriginae,whittleia,whittleia undulella,vreckovec mriežkovaný
genus,tineoidea,psychidae,vreckovcovité,epichnopteriginae,bijugis,,
species,tineoidea,psychidae,vreckovcovité,epichnopteriginae,bijugis,bijugis bombycella,vreckovec priadkovcovitý
species,tineoidea,psychidae,vreckovcovité,epichnopteriginae,bijugis,bijugis pectinella,vreckovec hrebeňovitý
genus,tineoidea,psychidae,vreckovcovité,epichnopteriginae,reisseronia,,
species,tineoidea,psychidae,vreckovcovité,epichnopteriginae,reisseronia,reisseronia tarnierella,vreckovec Tarnierov
genus,tineoidea,psychidae,vreckovcovité,epichnopteriginae,rebelia,,
species,tineoidea,psychidae,vreckovcovité,epichnopteriginae,rebelia,rebelia sapho,vreckovec Saphov
species,tineoidea,psychidae,vreckovcovité,epichnopteriginae,rebelia,rebelia kruegeri,vreckovec Krügerov
species,tineoidea,psychidae,vreckovcovité,epichnopteriginae,rebelia,rebelia plumella,vreckovec páperový
genus,tineoidea,psychidae,vreckovcovité,epichnopteriginae,psychidea,,
species,tineoidea,psychidae,vreckovcovité,epichnopteriginae,psychidea,psychidea nudella,vreckovec holý
genus,tineoidea,psychidae,vreckovcovité,epichnopteriginae,acentra,,
species,tineoidea,psychidae,vreckovcovité,epichnopteriginae,acentra,acentra subvestalis,vreckovec striebrosivý
subfamily,tineoidea,psychidae,vreckovcovité,oiketicinae,,,
genus,tineoidea,psychidae,vreckovcovité,oiketicinae,acanthopsyche,,
species,tineoidea,psychidae,vreckovcovité,oiketicinae,acanthopsyche,acanthopsyche atra,vreckovec brusnicový
species,tineoidea,psychidae,vreckovcovité,oiketicinae,acanthopsyche,acanthopsyche ecksteini,vreckovec Ecksteinov
genus,tineoidea,psychidae,vreckovcovité,oiketicinae,canephora,,
species,tineoidea,psychidae,vreckovcovité,oiketicinae,canephora,canephora hirsuta,vreckovec trávový
genus,tineoidea,psychidae,vreckovcovité,oiketicinae,pachythelia,,
species,tineoidea,psychidae,vreckovcovité,oiketicinae,pachythelia,pachythelia villosella,vreckovec vresový
subfamily,tineoidea,psychidae,vreckovcovité,oiketicinae,,,
genus,tineoidea,psychidae,vreckovcovité,oiketicinae,ptilocephala,,
species,tineoidea,psychidae,vreckovcovité,oiketicinae,ptilocephala,ptilocephala muscella,vreckovec muškovitý
species,tineoidea,psychidae,vreckovcovité,oiketicinae,ptilocephala,ptilocephala plumifera,vreckovec dúškový
subfamily,tineoidea,psychidae,vreckovcovité,oiketicinae,,,
genus,tineoidea,psychidae,vreckovcovité,oiketicinae,phalacropterix,,
species,tineoidea,psychidae,vreckovcovité,oiketicinae,phalacropterix,phalacropterix graslinella,vreckovec Graslinov
genus,tineoidea,psychidae,vreckovcovité,oiketicinae,megalophanes,,
species,tineoidea,psychidae,vreckovcovité,oiketicinae,megalophanes,megalophanes viciella,vreckovec lúčny
species,tineoidea,psychidae,vreckovcovité,oiketicinae,megalophanes,megalophanes stetinensis,vreckovec balkánsky
genus,tineoidea,psychidae,vreckovcovité,oiketicinae,sterrhopterix,,
species,tineoidea,psychidae,vreckovcovité,oiketicinae,sterrhopterix,sterrhopterix fusca,vreckovec dubový
species,tineoidea,psychidae,vreckovcovité,oiketicinae,sterrhopterix,sterrhopterix standfussi,vreckovec Standfussov
subfamily,tineoidea,psychidae,vreckovcovité,oiketicinae,,,
genus,tineoidea,psychidae,vreckovcovité,oiketicinae,apterona,,
species,tineoidea,psychidae,vreckovcovité,oiketicinae,apterona,apterona helicoidella,vreckovec škrupinkový
family,tineoidea,dryadaulidae,dryadaulovité,,,,
genus,tineoidea,dryadaulidae,dryadaulovité,,dryadaula,,
species,tineoidea,dryadaulidae,dryadaulovité,,dryadaula,dryadaula irinae,moľa lotyšská
family,tineoidea,tineidae,moľovité,,,,
subfamily,tineoidea,tineidae,moľovité,euplocaminae,,,
genus,tineoidea,tineidae,moľovité,euplocaminae,euplocamus,,
species,tineoidea,tineidae,moľovité,euplocaminae,euplocamus,euplocamus anthracinalis,trúdnikovec ozdobný
subfamily,tineoidea,tineidae,moľovité,scardiinae,,,
genus,tineoidea,tineidae,moľovité,scardiinae,montescardia,,
species,tineoidea,tineidae,moľovité,scardiinae,montescardia,montescardia tessulatellus,trúdnikovec väčší
genus,tineoidea,tineidae,moľovité,scardiinae,scardia,,
species,tineoidea,tineidae,moľovité,scardiinae,scardia,scardia boletella,trúdnikovec obrovský
genus,tineoidea,tineidae,moľovité,scardiinae,morophaga,,
species,tineoidea,tineidae,moľovité,scardiinae,morophaga,morophaga choragella,trúdnikovec menší
subfamily,tineoidea,tineidae,moľovité,nemapogoninae,,,
genus,tineoidea,tineidae,moľovité,nemapogoninae,triaxomera,,
species,tineoidea,tineidae,moľovité,nemapogoninae,triaxomera,triaxomera fulvimitrella,moľa žltohlavá
species,tineoidea,tineidae,moľovité,nemapogoninae,triaxomera,triaxomera parasitella,moľa parazitná
genus,tineoidea,tineidae,moľovité,nemapogoninae,archinemapogon,,
species,tineoidea,tineidae,moľovité,nemapogoninae,archinemapogon,archinemapogon yildizae,moľa borinná
genus,tineoidea,tineidae,moľovité,nemapogoninae,nemaxera,,
species,tineoidea,tineidae,moľovité,nemapogoninae,nemaxera,nemaxera betulinella,moľa brezová
genus,tineoidea,tineidae,moľovité,nemapogoninae,nemapogon,,
species,tineoidea,tineidae,moľovité,nemapogoninae,nemapogon,nemapogon inconditella,moľa trúdnikovcová
species,tineoidea,tineidae,moľovité,nemapogoninae,nemapogon,nemapogon gravosaellus,moľa dalmatínska
species,tineoidea,tineidae,moľovité,nemapogoninae,nemapogon,nemapogon hungaricus,moľa maďarská
species,tineoidea,tineidae,moľovité,nemapogoninae,nemapogon,nemapogon fungivorella,moľa hubová
species,tineoidea,tineidae,moľovité,nemapogoninae,nemapogon,nemapogon cloacella,moľa korková
species,tineoidea,tineidae,moľovité,nemapogoninae,nemapogon,nemapogon koenigi,moľa Königova
species,tineoidea,tineidae,moľovité,nemapogoninae,nemapogon,nemapogon picarella,moľa Picarova
species,tineoidea,tineidae,moľovité,nemapogoninae,nemapogon,nemapogon nigralbella,moľa čiernobiela
species,tineoidea,tineidae,moľovité,nemapogoninae,nemapogon,nemapogon gliriella,moľa bučinová
species,tineoidea,tineidae,moľovité,nemapogoninae,nemapogon,nemapogon quercicolella,moľa bielohlavá
species,tineoidea,tineidae,moľovité,nemapogoninae,nemapogon,nemapogon ruricolella,moľa lesná
species,tineoidea,tineidae,moľovité,nemapogoninae,nemapogon,nemapogon clematella,moľa jelšinová
species,tineoidea,tineidae,moľovité,nemapogoninae,nemapogon,nemapogon granella,moľa obilná
species,tineoidea,tineidae,moľovité,nemapogoninae,nemapogon,nemapogon variatella,moľa trúdniková
species,tineoidea,tineidae,moľovité,nemapogoninae,nemapogon,nemapogon falstriella,moľa stepná
genus,tineoidea,tineidae,moľovité,nemapogoninae,triaxomasia,,
species,tineoidea,tineidae,moľovité,nemapogoninae,triaxomasia,triaxomasia caprimulgella,moľa pňová
genus,tineoidea,tineidae,moľovité,nemapogoninae,neurothaumasia,,
species,tineoidea,tineidae,moľovité,nemapogoninae,neurothaumasia,neurothaumasia ankerella,moľa Ankerova
genus,tineoidea,tineidae,moľovité,nemapogoninae,infurcitinea,,
species,tineoidea,tineidae,moľovité,nemapogoninae,infurcitinea,infurcitinea ignicomella,moľa tmavošedá
species,tineoidea,tineidae,moľovité,nemapogoninae,infurcitinea,infurcitinea albicomella,moľa lišajníková
species,tineoidea,tineidae,moľovité,nemapogoninae,infurcitinea,infurcitinea finalis,moľa mramorovaná
species,tineoidea,tineidae,moľovité,nemapogoninae,infurcitinea,infurcitinea argentimaculella,moľa striebroškvrnná
genus,tineoidea,tineidae,moľovité,nemapogoninae,stenoptinea,,
species,tineoidea,tineidae,moľovité,nemapogoninae,stenoptinea,stenoptinea cyaneimarmorella,moľa úzkokrídla
genus,tineoidea,tineidae,moľovité,nemapogoninae,agnathosia,,
species,tineoidea,tineidae,moľovité,nemapogoninae,agnathosia,agnathosia mendicella,moľa medená
subfamily,tineoidea,tineidae,moľovité,myrmecozelinae,,,
genus,tineoidea,tineidae,moľovité,myrmecozelinae,ateliotum,,
species,tineoidea,tineidae,moľovité,myrmecozelinae,ateliotum,ateliotum hungaricellum,moľa uhorská
genus,tineoidea,tineidae,moľovité,myrmecozelinae,haplotinea,,
species,tineoidea,tineidae,moľovité,myrmecozelinae,haplotinea,haplotinea ditella,moľa sušinová
species,tineoidea,tineidae,moľovité,myrmecozelinae,haplotinea,haplotinea insectella,moľa strukovinová
genus,tineoidea,tineidae,moľovité,myrmecozelinae,cephimallota,,
species,tineoidea,tineidae,moľovité,myrmecozelinae,cephimallota,cephimallota crassiflavella,moľa zemná
species,tineoidea,tineidae,moľovité,myrmecozelinae,cephimallota,cephimallota angusticostella,moľa slanisková
subfamily,tineoidea,tineidae,moľovité,tineinae,,,
genus,tineoidea,tineidae,moľovité,tineinae,reisserita,,
species,tineoidea,tineidae,moľovité,tineinae,reisserita,reisserita relicinella,moľa dvojfarebná
genus,tineoidea,tineidae,moľovité,tineinae,trichophaga,,
species,tineoidea,tineidae,moľovité,tineinae,trichophaga,trichophaga tapetzella,moľa tapetová
species,tineoidea,tineidae,moľovité,tineinae,trichophaga,trichophaga scandinaviella,moľa škandinávska
genus,tineoidea,tineidae,moľovité,tineinae,elatobia,,
species,tineoidea,tineidae,moľovité,tineinae,elatobia,elatobia fuliginosella,moľa podkôrna
genus,tineoidea,tineidae,moľovité,tineinae,tineola,,
species,tineoidea,tineidae,moľovité,tineinae,tineola,tineola bisselliella,moľa šatová
genus,tineoidea,tineidae,moľovité,tineinae,tinea,,
species,tineoidea,tineidae,moľovité,tineinae,tinea,tinea pellionella,moľa kožušinová
species,tineoidea,tineidae,moľovité,tineinae,tinea,tinea translucens,moľa tabaková
species,tineoidea,tineidae,moľovité,tineinae,tinea,tinea steueri,moľa Steuerova
species,tineoidea,tineidae,moľovité,tineinae,tinea,tinea columbariella,moľa holubníková
species,tineoidea,tineidae,moľovité,tineinae,tinea,tinea pallescentella,moľa zdochlinová
species,tineoidea,tineidae,moľovité,tineinae,tinea,tinea omichlopis,moľa východná
species,tineoidea,tineidae,moľovité,tineinae,tinea,tinea semifulvella,moľa žltá
species,tineoidea,tineidae,moľovité,tineinae,tinea,tinea trinotella,moľa trojbodá
genus,tineoidea,tineidae,moľovité,tineinae,niditinea,,
species,tineoidea,tineidae,moľovité,tineinae,niditinea,niditinea fuscella,moľa hniezdová
species,tineoidea,tineidae,moľovité,tineinae,niditinea,niditinea striolella,moľa osia
species,tineoidea,tineidae,moľovité,tineinae,niditinea,niditinea truncicolella,moľa kôrová
genus,tineoidea,tineidae,moľovité,tineinae,monopis,,
species,tineoidea,tineidae,moľovité,tineinae,monopis,monopis laevigella,moľa machová
species,tineoidea,tineidae,moľovité,tineinae,monopis,monopis weaverella,moľa Weaverova
species,tineoidea,tineidae,moľovité,tineinae,monopis,monopis neglecta,moľa prehliadaná
species,tineoidea,tineidae,moľovité,tineinae,monopis,monopis burmanni,moľa Burmannova
species,tineoidea,tineidae,moľovité,tineinae,monopis,monopis obviella,moľa kožková
species,tineoidea,tineidae,moľovité,tineinae,monopis,monopis crocicapitella,moľa žilkatá
species,tineoidea,tineidae,moľovité,tineinae,monopis,monopis imella,moľa sivá
species,tineoidea,tineidae,moľovité,tineinae,monopis,monopis pallidella,moľa bledohnedá
species,tineoidea,tineidae,moľovité,tineinae,monopis,monopis fenestratella,moľa okienkovitá
