id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
336000,piadivka krkošková,sk,"","",,Slovak,Dave,2025-07-26T19:38:05Z
483552,morica kozincová,sk,"","",,Slovak,Dave,2025-07-26T19:40:21Z
894470,topoľovka bledá,sk,"","",,Slovak,Samo Sučík,2025-07-28T08:03:28Z
57896,slanobyľ draslomilná,sk,"","",,Slovak,Samo Sučík,2025-07-28T20:04:11Z
518201,starček bludný,sk,"","",,Slovak,Samo Sučík,2025-07-28T20:06:26Z
462041,oknáčik plamienkový,sk,"","",,Slovak,Jakub Liptak,2025-07-30T16:48:58Z
336700,mlynárik Mannov,sk,"","",,Slovak,Jakub Liptak,2025-07-30T22:31:51Z
1142612,Svišť vrchovský tatranský,sk,"","",,Slovak,Pavol Gajdos,2025-07-31T16:51:19Z
56165,divozel,sk,"","",,Slovak,Samo Sučík,2025-08-01T05:14:03Z
515322,horčičník konáristý,sk,"","",,Slovak,Samo Sučík,2025-08-01T17:37:20Z
410374,starček vodný,sk,"","",,Slovak,Samo Sučík,2025-08-03T17:47:40Z
62016,hrachor trávolistý pravý,sk,"","",,Slovak,Samo Sučík,2025-08-03T17:48:16Z
155848,pýr prostredný,sk,"","",,Slovak,Samo Sučík,2025-08-03T17:49:05Z
488317,stoklas Benekenov,sk,"","",,Slovak,Samo Sučík,2025-08-03T17:49:42Z
78649,lipnica hájna,sk,"","",,Slovak,Samo Sučík,2025-08-03T17:50:12Z
164258,sitina stlačená,sk,"","",,Slovak,Samo Sučík,2025-08-03T17:50:37Z
525526,ostružina hruboostňová,sk,"","",,Slovak,Samo Sučík,2025-08-03T17:51:11Z
481760,smldník olšovníkovitý,sk,"","",,Slovak,Samo Sučík,2025-08-03T17:51:41Z
55909,jastrabník okolíkatý,sk,"","",,Slovak,Samo Sučík,2025-08-03T17:52:27Z
57283,centrant červený,sk,"","",,Slovak,Samo Sučík,2025-08-03T17:55:21Z
1463890,púpava podunajská,sk,"","",,Slovak,Samo Sučík,2025-08-03T17:55:56Z
485935,sezel ročný,sk,"","",,Slovak,Samo Sučík,2025-08-03T17:56:46Z
361313,timotejka tuhá,sk,"","",,Slovak,Samo Sučík,2025-08-03T17:57:14Z
547431,záraza Kochova,sk,"","",,Slovak,Samo Sučík,2025-08-03T17:58:14Z
158043,tetucha kozí pysk,sk,"","",,Slovak,Samo Sučík,2025-08-03T18:02:00Z
465860,zvonček lekársky,sk,"","",,Slovak,Samo Sučík,2025-08-03T18:02:28Z
56234,zemežlč,sk,"","",,Slovak,Samo Sučík,2025-08-03T18:03:01Z
490041,kamzičník chlpatý,sk,"","",,Slovak,Samo Sučík,2025-08-03T18:03:54Z
190736,lyžičník tatranský,sk,"","",,Slovak,Samo Sučík,2025-08-03T18:04:22Z
