rank,order_scientific,order_common,infraorder_scientific,infraorder_common,superfamily_scientific,superfamily_common,family_scientific,family_common,genus_scientific,genus_common,species_scientific,species_common
species,hymenoptera,blanokrídlovce,apocrita,štíhlopáse,sphecoidea,kutavky,sphecidae,kutavkovité,trypoxylon,kutavka,trypoxylon figulus,kutavka hojná
genus,hymenoptera,blanokrídlovce,apocrita,štíhlopáse,sphecoidea,kutavky,sphecidae,kutavkovité,crabro,kutavka,,
species,hymenoptera,blanokrídlovce,apocrita,štíhlopáse,sphecoidea,kutavky,sphecidae,kutavkovité,crabro,kutavka,crabro cribrarius,kutavka vráskavá
genus,hymenoptera,blanokrídlovce,apocrita,štíhlopáse,sphecoidea,kutavky,sphecidae,kutavkovité,bembix,kutavka,,
species,hymenoptera,blanokrídlovce,apocrita,štíhlopáse,sphecoidea,kutavky,sphecidae,kutavkovité,bembix,kutavka,bembix rostrata,kutavka zobatá
genus,hymenoptera,blanokrídlovce,apocrita,štíhlopáse,sphecoidea,kutavky,sphecidae,kutavkovité,ammophila,kutavka,,
species,hymenoptera,blanokrídlovce,apocrita,štíhlopáse,sphecoidea,kutavky,sphecidae,kutavkovité,ammophila,kutavka,ammophila sabulosa,kutavka piesočná
genus,hymenoptera,blanokrídlovce,apocrita,štíhlopáse,sphecoidea,kutavky,sphecidae,kutavkovité,sphex,kutavka,,
species,hymenoptera,blanokrídlovce,apocrita,štíhlopáse,sphecoidea,kutavky,sphecidae,kutavkovité,sphex,kutavka,sphex maxillosus,kutavka obyčajná
genus,hymenoptera,blanokrídlovce,apocrita,štíhlopáse,sphecoidea,kutavky,sphecidae,kutavkovité,podalonia,kutavka,,
species,hymenoptera,blanokrídlovce,apocrita,štíhlopáse,sphecoidea,kutavky,sphecidae,kutavkovité,podalonia,kutavka,podalonia viatica,kutavka chlpatá
genus,hymenoptera,blanokrídlovce,apocrita,štíhlopáse,sphecoidea,kutavky,sphecidae,kutavkovité,philanthus,kutavka,,
species,hymenoptera,blanokrídlovce,apocrita,štíhlopáse,sphecoidea,kutavky,sphecidae,kutavkovité,philanthus,kutavka,philanthus triangulum,kutavka včelia
genus,hymenoptera,blanokrídlovce,apocrita,štíhlopáse,sphecoidea,kutavky,sphecidae,kutavkovité,cerceris,kutavka,,
species,hymenoptera,blanokrídlovce,apocrita,štíhlopáse,sphecoidea,kutavky,sphecidae,kutavkovité,cerceris,kutavka,cerceris arenaria,kutavka uzlatá
superfamily,hymenoptera,blanokrídlovce,apocrita,štíhlopáse,apoidea,včely,,,,,,
family,hymenoptera,blanokrídlovce,apocrita,štíhlopáse,apoidea,včely,colletidae,hodvábnicovité,,,,
genus,hymenoptera,blanokrídlovce,apocrita,štíhlopáse,apoidea,včely,colletidae,hodvábnicovité,colletes,hodvábnica,,
species,hymenoptera,blanokrídlovce,apocrita,štíhlopáse,apoidea,včely,colletidae,hodvábnicovité,colletes,hodvábnica,colletes succinctus,hodvábnica vresová
genus,hymenoptera,blanokrídlovce,apocrita,štíhlopáse,apoidea,včely,colletidae,hodvábnicovité,hylaus,pravčela,,
species,hymenoptera,blanokrídlovce,apocrita,štíhlopáse,apoidea,včely,colletidae,hodvábnicovité,hylaus,pravčela,hylaus communis,pravčela obyčajná
family,hymenoptera,blanokrídlovce,apocrita,štíhlopáse,apoidea,včely,halictidae,včielkovité,,,,
genus,hymenoptera,blanokrídlovce,apocrita,štíhlopáse,apoidea,včely,halictidae,včielkovité,halictus,včielka,,
species,hymenoptera,blanokrídlovce,apocrita,štíhlopáse,apoidea,včely,halictidae,včielkovité,halictus,včielka,halictus maculatus,včielka bieloškvrnná
species,hymenoptera,blanokrídlovce,apocrita,štíhlopáse,apoidea,včely,halictidae,včielkovité,halictus,včielka,halictus quadricinctus,včielka pásikavá
species,hymenoptera,blanokrídlovce,apocrita,štíhlopáse,apoidea,včely,halictidae,včielkovité,halictus,včielka,halictus calceatus,včielka obyčajná
genus,hymenoptera,blanokrídlovce,apocrita,štíhlopáse,apoidea,včely,halictidae,včielkovité,sphecodes,včielka,,
species,hymenoptera,blanokrídlovce,apocrita,štíhlopáse,apoidea,včely,halictidae,včielkovité,sphecodes,včielka,sphecodes gibbus,včielka červená
family,hymenoptera,blanokrídlovce,apocrita,štíhlopáse,apoidea,včely,andrenidae,pieskárkovité,,,,
genus,hymenoptera,blanokrídlovce,apocrita,štíhlopáse,apoidea,včely,andrenidae,pieskárkovité,andrena,pieskárka,,
species,hymenoptera,blanokrídlovce,apocrita,štíhlopáse,apoidea,včely,andrenidae,pieskárkovité,andrena,pieskárka,andrena albofasciata,pieskárka bielopása
species,hymenoptera,blanokrídlovce,apocrita,štíhlopáse,apoidea,včely,andrenidae,pieskárkovité,andrena,pieskárka,andrena minutula,pieskárka drobná
species,hymenoptera,blanokrídlovce,apocrita,štíhlopáse,apoidea,včely,andrenidae,pieskárkovité,andrena,pieskárka,andrena taraxaci,pieskárka púpavová
species,hymenoptera,blanokrídlovce,apocrita,štíhlopáse,apoidea,včely,andrenidae,pieskárkovité,andrena,pieskárka,andrena haemorrhoa,pieskárka zlatistá
species,hymenoptera,blanokrídlovce,apocrita,štíhlopáse,apoidea,včely,andrenidae,pieskárkovité,andrena,pieskárka,andrena flavipes,pieskárka pásikavá
family,hymenoptera,blanokrídlovce,apocrita,štíhlopáse,apoidea,včely,melittidae,melitovité,,,,
genus,hymenoptera,blanokrídlovce,apocrita,štíhlopáse,apoidea,včely,melittidae,melitovité,melitta,melita,,
species,hymenoptera,blanokrídlovce,apocrita,štíhlopáse,apoidea,včely,melittidae,melitovité,melitta,melita,melitta leporina,melita lucernová
genus,hymenoptera,blanokrídlovce,apocrita,štíhlopáse,apoidea,včely,melittidae,melitovité,dasypoda,kapčiarka,,
species,hymenoptera,blanokrídlovce,apocrita,štíhlopáse,apoidea,včely,melittidae,melitovité,dasypoda,kapčiarka,dasypoda hirtipes,kapčiarka chrastavcová
family,hymenoptera,blanokrídlovce,apocrita,štíhlopáse,apoidea,včely,megachilidae,čalúnnicovité,,,,
genus,hymenoptera,blanokrídlovce,apocrita,štíhlopáse,apoidea,včely,megachilidae,čalúnnicovité,anthidium,vlnárka,,
species,hymenoptera,blanokrídlovce,apocrita,štíhlopáse,apoidea,včely,megachilidae,čalúnnicovité,anthidium,vlnárka,anthidium manicatum,vlnárka balotová
genus,hymenoptera,blanokrídlovce,apocrita,štíhlopáse,apoidea,včely,megachilidae,čalúnnicovité,osmia,osmia,,
species,hymenoptera,blanokrídlovce,apocrita,štíhlopáse,apoidea,včely,megachilidae,čalúnnicovité,osmia,osmia,osmia rufa,osmia hrdzavá
species,hymenoptera,blanokrídlovce,apocrita,štíhlopáse,apoidea,včely,megachilidae,čalúnnicovité,osmia,osmia,osmia papaveris,osmia maková
species,hymenoptera,blanokrídlovce,apocrita,štíhlopáse,apoidea,včely,megachilidae,čalúnnicovité,osmia,osmia,osmia adunca,osmia hadincová
genus,hymenoptera,blanokrídlovce,apocrita,štíhlopáse,apoidea,včely,megachilidae,čalúnnicovité,megachile,čalúnnica,,
species,hymenoptera,blanokrídlovce,apocrita,štíhlopáse,apoidea,včely,megachilidae,čalúnnicovité,megachile,čalúnnica,megachile maritima,čalúnnica veľká
species,hymenoptera,blanokrídlovce,apocrita,štíhlopáse,apoidea,včely,megachilidae,čalúnnicovité,megachile,čalúnnica,megachile argentata,čalúnnica striebristá
family,hymenoptera,blanokrídlovce,apocrita,štíhlopáse,apoidea,včely,apidae,včelovité,,,,
genus,hymenoptera,blanokrídlovce,apocrita,štíhlopáse,apoidea,včely,apidae,včelovité,bombus,čmeľ,,
species,hymenoptera,blanokrídlovce,apocrita,štíhlopáse,apoidea,včely,apidae,včelovité,bombus,čmeľ,bombus mastrucatus,čmeľ širokohlavý
species,hymenoptera,blanokrídlovce,apocrita,štíhlopáse,apoidea,včely,apidae,včelovité,bombus,čmeľ,bombus hortorum,čmeľ záhradný
species,hymenoptera,blanokrídlovce,apocrita,štíhlopáse,apoidea,včely,apidae,včelovité,bombus,čmeľ,bombus silvarum,čmeľ hôrny
species,hymenoptera,blanokrídlovce,apocrita,štíhlopáse,apoidea,včely,apidae,včelovité,bombus,čmeľ,bombus humilis,čmeľ premenlivý
species,hymenoptera,blanokrídlovce,apocrita,štíhlopáse,apoidea,včely,apidae,včelovité,bombus,čmeľ,bombus agrorum,čmeľ poľný
species,hymenoptera,blanokrídlovce,apocrita,štíhlopáse,apoidea,včely,apidae,včelovité,bombus,čmeľ,bombus lapidarius,čmeľ skalný
species,hymenoptera,blanokrídlovce,apocrita,štíhlopáse,apoidea,včely,apidae,včelovité,bombus,čmeľ,bombus pratorum,čmeľ lúčny
species,hymenoptera,blanokrídlovce,apocrita,štíhlopáse,apoidea,včely,apidae,včelovité,bombus,čmeľ,bombus lucorum,čmeľ hájový
species,hymenoptera,blanokrídlovce,apocrita,štíhlopáse,apoidea,včely,apidae,včelovité,bombus,čmeľ,bombus terrestris,čmeľ zemný
genus,hymenoptera,blanokrídlovce,apocrita,štíhlopáse,apoidea,včely,apidae,včelovité,psithyrus,čmela,,
species,hymenoptera,blanokrídlovce,apocrita,štíhlopáse,apoidea,včely,apidae,včelovité,psithyrus,čmela,psithyrus rupestris,čmela skalná
species,hymenoptera,blanokrídlovce,apocrita,štíhlopáse,apoidea,včely,apidae,včelovité,psithyrus,čmela,psithyrus barbutellus,čmela chlpatá
species,hymenoptera,blanokrídlovce,apocrita,štíhlopáse,apoidea,včely,apidae,včelovité,psithyrus,čmela,psithyrus campestris,čmela poľná
genus,hymenoptera,blanokrídlovce,apocrita,štíhlopáse,apoidea,včely,apidae,včelovité,apis,včela,,
species,hymenoptera,blanokrídlovce,apocrita,štíhlopáse,apoidea,včely,apidae,včelovité,apis,včela,apis mellifera,včela medonosná
family,hymenoptera,blanokrídlovce,apocrita,štíhlopáse,apoidea,včely,anthophoridae,peliarkovité,,,,
genus,hymenoptera,blanokrídlovce,apocrita,štíhlopáse,apoidea,včely,anthophoridae,peliarkovité,nomada,nomáda,,
species,hymenoptera,blanokrídlovce,apocrita,štíhlopáse,apoidea,včely,anthophoridae,peliarkovité,nomada,nomáda,nomada ruficornis,nomáda červenkastá
genus,hymenoptera,blanokrídlovce,apocrita,štíhlopáse,apoidea,včely,anthophoridae,peliarkovité,tetralonia,stepiarka,,
species,hymenoptera,blanokrídlovce,apocrita,štíhlopáse,apoidea,včely,anthophoridae,peliarkovité,tetralonia,stepiarka,tetralonia macroglossa,stepiarka slezová
genus,hymenoptera,blanokrídlovce,apocrita,štíhlopáse,apoidea,včely,anthophoridae,peliarkovité,eucera,stepiarka,,
species,hymenoptera,blanokrídlovce,apocrita,štíhlopáse,apoidea,včely,anthophoridae,peliarkovité,eucera,stepiarka,eucera longicornis,stepiarka dlhorohá
genus,hymenoptera,blanokrídlovce,apocrita,štíhlopáse,apoidea,včely,anthophoridae,peliarkovité,anthophora,peliarka,,
species,hymenoptera,blanokrídlovce,apocrita,štíhlopáse,apoidea,včely,anthophoridae,peliarkovité,anthophora,peliarka,anthophora plagiata,peliarka múrová
species,hymenoptera,blanokrídlovce,apocrita,štíhlopáse,apoidea,včely,anthophoridae,peliarkovité,anthophora,peliarka,anthophora acervorum,peliarka hluchavková
species,hymenoptera,blanokrídlovce,apocrita,štíhlopáse,apoidea,včely,anthophoridae,peliarkovité,anthophora,peliarka,anthophora aestivalis,peliarka jarná
genus,hymenoptera,blanokrídlovce,apocrita,štíhlopáse,apoidea,včely,anthophoridae,peliarkovité,xylocopa,drevár,,
species,hymenoptera,blanokrídlovce,apocrita,štíhlopáse,apoidea,včely,anthophoridae,peliarkovité,xylocopa,drevár,xylocopa violacea,drevár fialový
order,megaloptera,vodnárky,,,,,,,,,,
family,megaloptera,vodnárky,,,,,sialidae,vodnárkovité,,,,
genus,megaloptera,vodnárky,,,,,sialidae,vodnárkovité,sialis,vodnárka,,
species,megaloptera,vodnárky,,,,,sialidae,vodnárkovité,sialis,vodnárka,sialis flavilatera,vodnárka močiarna
species,megaloptera,vodnárky,,,,,sialidae,vodnárkovité,sialis,vodnárka,sialis fuliginosa,vodnárka potočná
order,raphidioptera,dlhokrčky,,,,,,,,,,
family,raphidioptera,dlhokrčky,,,,,raphidiidae,dlhokrčkovité,,,,
genus,raphidioptera,dlhokrčky,,,,,raphidiidae,dlhokrčkovité,raphidia,dlhokrčka,,
species,raphidioptera,dlhokrčky,,,,,raphidiidae,dlhokrčkovité,raphidia,dlhokrčka,raphidia flavipes,dlhokrčka obyčajná
order,planipennia,sieťokrídlovce,,,,,,,,,,
family,planipennia,sieťokrídlovce,,,,,osmylidae,bystrinárkovité,,,,
genus,planipennia,sieťokrídlovce,,,,,osmylidae,bystrinárkovité,osmylus,bystrinárka,,
species,planipennia,sieťokrídlovce,,,,,osmylidae,bystrinárkovité,osmylus,bystrinárka,osmylus fulvicephalus,bystrinárka škvrnitokrídla
family,planipennia,sieťokrídlovce,,,,,ascalaphidae,askalafusovité,,,,
genus,planipennia,sieťokrídlovce,,,,,ascalaphidae,askalafusovité,ascalaphus,askalafus,,
species,planipennia,sieťokrídlovce,,,,,ascalaphidae,askalafusovité,ascalaphus,askalafus,ascalaphus macaronius,askalafus škvrnitokrídly
family,planipennia,sieťokrídlovce,,,,,myrmeleontidae,mravcolevovité,,,,
genus,planipennia,sieťokrídlovce,,,,,myrmeleontidae,mravcolevovité,dendroleon,mravcolev,,
species,planipennia,sieťokrídlovce,,,,,myrmeleontidae,mravcolevovité,dendroleon,mravcolev,dendroleon pantherinus,mravcolev stromový
genus,planipennia,sieťokrídlovce,,,,,myrmeleontidae,mravcolevovité,formicaleon,mravcolev,,
species,planipennia,sieťokrídlovce,,,,,myrmeleontidae,mravcolevovité,formicaleon,mravcolev,formicaleon tetragrammicus,mravcolev štvorškvrnný
genus,planipennia,sieťokrídlovce,,,,,myrmeleontidae,mravcolevovité,myrmeleon,mravcolev,,
species,planipennia,sieťokrídlovce,,,,,myrmeleontidae,mravcolevovité,myrmeleon,mravcolev,myrmeleon formicarius,mravcolev čiernobruchý
genus,planipennia,sieťokrídlovce,,,,,myrmeleontidae,mravcolevovité,euroleon,mravcolev,,
species,planipennia,sieťokrídlovce,,,,,myrmeleontidae,mravcolevovité,euroleon,mravcolev,euroleon nostras,mravcolev obyčajný
family,planipennia,sieťokrídlovce,,,,,mantispidae,pamodlivkovité,,,,
genus,planipennia,sieťokrídlovce,,,,,mantispidae,pamodlivkovité,mantispa,pamodlivka,,
species,planipennia,sieťokrídlovce,,,,,mantispidae,pamodlivkovité,mantispa,pamodlivka,mantispa styriaca,pamodlivka dlhokrká
family,planipennia,sieťokrídlovce,,,,,chrysopidae,zlatoočkovité,,,,
genus,planipennia,sieťokrídlovce,,,,,chrysopidae,zlatoočkovité,chrysopa,zlatoočka,,
species,planipennia,sieťokrídlovce,,,,,chrysopidae,zlatoočkovité,chrysopa,zlatoočka,chrysopa carnea,zlatoočka obyčajná
species,planipennia,sieťokrídlovce,,,,,chrysopidae,zlatoočkovité,chrysopa,zlatoočka,chrysopa perla,zlatoočka škvrnitá
species,planipennia,sieťokrídlovce,,,,,chrysopidae,zlatoočkovité,chrysopa,zlatoočka,chrysopa septempunctata,zlatoočka veľká
family,planipennia,sieťokrídlovce,,,,,hemerobiidae,voškovcovité,,,,
genus,planipennia,sieťokrídlovce,,,,,hemerobiidae,voškovcovité,hemerobius,voškovec,,
species,planipennia,sieťokrídlovce,,,,,hemerobiidae,voškovcovité,hemerobius,voškovec,hemerobius micans,voškovec obyčajný
species,planipennia,sieťokrídlovce,,,,,hemerobiidae,voškovcovité,hemerobius,voškovec,hemerobius humuli,voškovec žltohlavý
species,planipennia,sieťokrídlovce,,,,,hemerobiidae,voškovcovité,hemerobius,voškovec,hemerobius pini,voškovec hnedý
genus,planipennia,sieťokrídlovce,,,,,hemerobiidae,voškovcovité,megalomus,voškovec,,
species,planipennia,sieťokrídlovce,,,,,hemerobiidae,voškovcovité,megalomus,voškovec,megalomus hirtus,voškovec širokokrídly
genus,planipennia,sieťokrídlovce,,,,,hemerobiidae,voškovcovité,drepanopteryx,voškovec,,
species,planipennia,sieťokrídlovce,,,,,hemerobiidae,voškovcovité,drepanopteryx,voškovec,drepanopteryx phalaenoides,voškovec listovitý
family,planipennia,sieťokrídlovce,,,,,sisyridae,hubkárkovité,,,,
genus,planipennia,sieťokrídlovce,,,,,sisyridae,hubkárkovité,sisyra,hubkárka,,
species,planipennia,sieťokrídlovce,,,,,sisyridae,hubkárkovité,sisyra,hubkárka,sisyra fuscata,hubkárka hnedastá
family,planipennia,sieťokrídlovce,,,,,coniopterygidae,belavkovité,,,,
genus,planipennia,sieťokrídlovce,,,,,coniopterygidae,belavkovité,coniopteryx,belavka,,
species,planipennia,sieťokrídlovce,,,,,coniopterygidae,belavkovité,coniopteryx,belavka,coniopteryx pygmaea,belavka obyčajná
genus,planipennia,sieťokrídlovce,,,,,coniopterygidae,belavkovité,conwentzia,belavka,,
species,planipennia,sieťokrídlovce,,,,,coniopterygidae,belavkovité,conwentzia,belavka,conwentzia pineticola,belavka borovicová
species,planipennia,sieťokrídlovce,,,,,coniopterygidae,belavkovité,conwentzia,belavka,conwentzia psociformis,belavka dubová
genus,planipennia,sieťokrídlovce,,,,,coniopterygidae,belavkovité,semidalis,belavka,,
species,planipennia,sieťokrídlovce,,,,,coniopterygidae,belavkovité,semidalis,belavka,semidalis aleurodiformis,belavka molicovitá
order,mecoptera,srpice,,,,,,,,,,
family,mecoptera,srpice,,,,,boreidae,snežníčkovité,,,,
genus,mecoptera,srpice,,,,,boreidae,snežníčkovité,boreus,snežníčka,,
species,mecoptera,srpice,,,,,boreidae,snežníčkovité,boreus,snežníčka,boreus hyemalis,snežníčka skákavá
family,mecoptera,srpice,,,,,bittacidae,komárovkovité,,,,
genus,mecoptera,srpice,,,,,bittacidae,komárovkovité,bittacus,komárovka,,
species,mecoptera,srpice,,,,,bittacidae,komárovkovité,bittacus,komárovka,bittacus tipularius,komárovka lúčna
family,mecoptera,srpice,,,,,panorpidae,srpicovité,,,,
genus,mecoptera,srpice,,,,,panorpidae,srpicovité,panorpa,srpica,,
species,mecoptera,srpice,,,,,panorpidae,srpicovité,panorpa,srpica,panorpa communis,srpica obyčajná
species,mecoptera,srpice,,,,,panorpidae,srpicovité,panorpa,srpica,panorpa germanica,srpica malá
order,trichoptera,potočníky,,,,,,,,,,
family,trichoptera,potočníky,,,,,rhyacophilidae,,,,,
genus,trichoptera,potočníky,,,,,rhyacophilidae,,rhyacophila,potočník,,
species,trichoptera,potočníky,,,,,rhyacophilidae,,rhyacophila,potočník,rhyacophila septentrionis,potočník severský
species,trichoptera,potočníky,,,,,rhyacophilidae,,rhyacophila,potočník,rhyacophila vulgaris,potočník obyčajný
family,trichoptera,potočníky,,,,,hydroptilidae,,,,,
genus,trichoptera,potočníky,,,,,hydroptilidae,,oxyethira,potočník,,
species,trichoptera,potočníky,,,,,hydroptilidae,,oxyethira,potočník,oxyethira costalis,potočník úzkokrídly
family,trichoptera,potočníky,,,,,polycentropidae,,,,,
genus,trichoptera,potočníky,,,,,polycentropidae,,holocentropus,potočník,,
species,trichoptera,potočníky,,,,,polycentropidae,,holocentropus,potočník,holocentropus picicornis,potočník rastlinomilný
family,trichoptera,potočníky,,,,,hydropsychidae,,,,,
genus,trichoptera,potočníky,,,,,hydropsychidae,,hydropsyche,potočník,,
species,trichoptera,potočníky,,,,,hydropsychidae,,hydropsyche,potočník,hydropsyche ornatula,potočník snovač
family,trichoptera,potočníky,,,,,phryganeidae,,,,,
genus,trichoptera,potočníky,,,,,phryganeidae,,phryganea,potočník,,
species,trichoptera,potočníky,,,,,phryganeidae,,phryganea,potočník,phryganea grandis,potočník veľký
family,trichoptera,potočníky,,,,,molannidae,,,,,
genus,trichoptera,potočníky,,,,,molannidae,,molanna,potočník,,
species,trichoptera,potočníky,,,,,molannidae,,molanna,potočník,molanna angustata,potočník pieskomilný
family,trichoptera,potočníky,,,,,leptoceridae,,,,,
genus,trichoptera,potočníky,,,,,leptoceridae,,leptocerus,potočník,,
species,trichoptera,potočníky,,,,,leptoceridae,,leptocerus,potočník,leptocerus aterrimus,potočník najtmavší
family,trichoptera,potočníky,,,,,limnophilidae,,,,,
genus,trichoptera,potočníky,,,,,limnophilidae,,limnophilus,potočník,,
species,trichoptera,potočníky,,,,,limnophilidae,,limnophilus,potočník,limnophilus flavicornis,potočník žltorohý
species,trichoptera,potočníky,,,,,limnophilidae,,limnophilus,potočník,limnophilus rhombicus,potočník rombický
genus,trichoptera,potočníky,,,,,limnophilidae,,drusus,potočník,,
species,trichoptera,potočníky,,,,,limnophilidae,,drusus,potočník,drusus discolor,potočník prúdomilný
genus,trichoptera,potočníky,,,,,limnophilidae,,micrasema,potočník,,
species,trichoptera,potočníky,,,,,limnophilidae,,micrasema,potočník,micrasema minimum,potočník drobný
genus,trichoptera,potočníky,,,,,limnophilidae,,acrophylax,potočník,,
species,trichoptera,potočníky,,,,,limnophilidae,,acrophylax,potočník,acrophylax vernalis,potočník alpínsky
family,trichoptera,potočníky,,,,,sericostomatidae,,,,,
genus,trichoptera,potočníky,,,,,sericostomatidae,,brachycentrus,potočník,,
species,trichoptera,potočníky,,,,,sericostomatidae,,brachycentrus,potočník,brachycentrus montanus,potočník vrchovský
species,trichoptera,potočníky,,,,,sericostomatidae,,brachycentrus,potočník,brachycentrus subnubilis,potočník hranolový
order,lepidoptera,motýle,,,,,,,,,,
infraorder,lepidoptera,motýle,homoneura,jarmokrídle,,,,,,,,
family,lepidoptera,motýle,homoneura,jarmokrídle,,,micropterygidae,potočníkovcovité,,,,
genus,lepidoptera,motýle,homoneura,jarmokrídle,,,micropterygidae,potočníkovcovité,micropteryx,potočníkovec,,
species,lepidoptera,motýle,homoneura,jarmokrídle,,,micropterygidae,potočníkovcovité,micropteryx,potočníkovec,micropteryx aureatella,potočníkovec hôrny
family,lepidoptera,motýle,homoneura,jarmokrídle,,,eriocraniidae,prvomoľovité,,,,
genus,lepidoptera,motýle,homoneura,jarmokrídle,,,eriocraniidae,prvomoľovité,eriocrania,prvomoľa,,
species,lepidoptera,motýle,homoneura,jarmokrídle,,,eriocraniidae,prvomoľovité,eriocrania,prvomoľa,eriocrania rubroaurella,prvomoľa brezová
family,lepidoptera,motýle,homoneura,jarmokrídle,,,hepialidae,hrotokrídlovcovité,,,,
genus,lepidoptera,motýle,homoneura,jarmokrídle,,,hepialidae,hrotokrídlovcovité,hepialus,hrotokrídlovec,,
species,lepidoptera,motýle,homoneura,jarmokrídle,,,hepialidae,hrotokrídlovcovité,hepialus,hrotokrídlovec,hepialus humuli,hrotokrídlovec chmeľový
genus,lepidoptera,motýle,homoneura,jarmokrídle,,,hepialidae,hrotokrídlovcovité,triodia,hrotokrídlovec,,
species,lepidoptera,motýle,homoneura,jarmokrídle,,,hepialidae,hrotokrídlovcovité,triodia,hrotokrídlovec,triodia sylvina,hrotokrídlovec šalátový
genus,lepidoptera,motýle,homoneura,jarmokrídle,,,hepialidae,hrotokrídlovcovité,korscheltellus,hrotokrídlovec,,
species,lepidoptera,motýle,homoneura,jarmokrídle,,,hepialidae,hrotokrídlovcovité,korscheltellus,hrotokrídlovec,korscheltellus lupulinus,hrotokrídlovec záhradný
infraorder,lepidoptera,motýle,heteroneura,uzdokrídle,,,,,,,,
family,lepidoptera,motýle,heteroneura,uzdokrídle,,,stigmellidae,drobníkovité,,,,
genus,lepidoptera,motýle,heteroneura,uzdokrídle,,,stigmellidae,drobníkovité,stigmella,drobník,,
species,lepidoptera,motýle,heteroneura,uzdokrídle,,,stigmellidae,drobníkovité,stigmella,drobník,stigmella sericopeza,drobník javorový
species,lepidoptera,motýle,heteroneura,uzdokrídle,,,stigmellidae,drobníkovité,stigmella,drobník,stigmella marginicolella,drobník brestový
family,lepidoptera,motýle,heteroneura,uzdokrídle,,,tischeriidae,mínovníkovité,,,,
genus,lepidoptera,motýle,heteroneura,uzdokrídle,,,tischeriidae,mínovníkovité,tischeria,mínovník,,
species,lepidoptera,motýle,heteroneura,uzdokrídle,,,tischeriidae,mínovníkovité,tischeria,mínovník,tischeria ekebladella,mínovník dubový
family,lepidoptera,motýle,heteroneura,uzdokrídle,,,incurvariidae,blyštekovité,,,,
genus,lepidoptera,motýle,heteroneura,uzdokrídle,,,incurvariidae,blyštekovité,incurvaria,blyštek,,
species,lepidoptera,motýle,heteroneura,uzdokrídle,,,incurvariidae,blyštekovité,incurvaria,blyštek,incurvaria capitella,blyštek ríbezľový
genus,lepidoptera,motýle,heteroneura,uzdokrídle,,,incurvariidae,blyštekovité,lampronia,blyštek,,
species,lepidoptera,motýle,heteroneura,uzdokrídle,,,incurvariidae,blyštekovité,lampronia,blyštek,lampronia rubiella,blyštek malinový
genus,lepidoptera,motýle,heteroneura,uzdokrídle,,,incurvariidae,blyštekovité,adela,adéla,,
species,lepidoptera,motýle,heteroneura,uzdokrídle,,,incurvariidae,blyštekovité,adela,adéla,adela reamurella,adéla zelená
genus,lepidoptera,motýle,heteroneura,uzdokrídle,,,incurvariidae,blyštekovité,nemophora,adéla,,
species,lepidoptera,motýle,heteroneura,uzdokrídle,,,incurvariidae,blyštekovité,nemophora,adéla,nemophora metallica,adéla chrastavcová
family,lepidoptera,motýle,heteroneura,uzdokrídle,,,cossidae,drevotočovité,,,,
genus,lepidoptera,motýle,heteroneura,uzdokrídle,,,cossidae,drevotočovité,cossus,drevotoč,,
species,lepidoptera,motýle,heteroneura,uzdokrídle,,,cossidae,drevotočovité,cossus,drevotoč,cossus cossus,drevotoč obyčajný
genus,lepidoptera,motýle,heteroneura,uzdokrídle,,,cossidae,drevotočovité,hypopta,drevotoč,,
species,lepidoptera,motýle,heteroneura,uzdokrídle,,,cossidae,drevotočovité,hypopta,drevotoč,hypopta caestrum,drevotoč stepný
genus,lepidoptera,motýle,heteroneura,uzdokrídle,,,cossidae,drevotočovité,dyspessa,drevotoč,,
species,lepidoptera,motýle,heteroneura,uzdokrídle,,,cossidae,drevotočovité,dyspessa,drevotoč,dyspessa ulula,drevotoč tigrovaný
genus,lepidoptera,motýle,heteroneura,uzdokrídle,,,cossidae,drevotočovité,zeuzera,drevotoč,,
species,lepidoptera,motýle,heteroneura,uzdokrídle,,,cossidae,drevotočovité,zeuzera,drevotoč,zeuzera pyrina,drevotoč hruškový
family,lepidoptera,motýle,heteroneura,uzdokrídle,,,tinaeidae,moľovité,,,,
genus,lepidoptera,motýle,heteroneura,uzdokrídle,,,tinaeidae,moľovité,nemapogon,moľa,,
species,lepidoptera,motýle,heteroneura,uzdokrídle,,,tinaeidae,moľovité,nemapogon,moľa,nemapogon granellus,moľa obilná
genus,lepidoptera,motýle,heteroneura,uzdokrídle,,,tinaeidae,moľovité,trichophaga,moľa,,
species,lepidoptera,motýle,heteroneura,uzdokrídle,,,tinaeidae,moľovité,trichophaga,moľa,trichophaga tapetzella,moľa tapetová
genus,lepidoptera,motýle,heteroneura,uzdokrídle,,,tinaeidae,moľovité,tineola,moľa,,
species,lepidoptera,motýle,heteroneura,uzdokrídle,,,tinaeidae,moľovité,tineola,moľa,tineola bisselliella,moľa šatová
genus,lepidoptera,motýle,heteroneura,uzdokrídle,,,tinaeidae,moľovité,tinaea,moľa,,
species,lepidoptera,motýle,heteroneura,uzdokrídle,,,tinaeidae,moľovité,tinaea,moľa,tinaea pellionella,moľa kožušinová
family,lepidoptera,motýle,heteroneura,uzdokrídle,,,talaeporiidae,,,,,
genus,lepidoptera,motýle,heteroneura,uzdokrídle,,,talaeporiidae,,talaeporia,vreckovec,,
species,lepidoptera,motýle,heteroneura,uzdokrídle,,,talaeporiidae,,talaeporia,vreckovec,talaeporia tubulosa,vreckovec rúrkový
