
sciName,commonNameSBM,commonNameINat,differenceCategory
Traunsteinera globosa,vstavačovka hlavatá,Pavstavač Hlavatý,proper
Trichodiadema intonsum,diadémovka zarastená,Trichodiadéma Hľuznatá,proper
Trifolium aureum,ďatelina zlatožltá,Ďatelinka Zlatožltá,proper
Trifolium incarnatum,ďatelina bledokarmínová,Ďatelina Purpurová,proper
Trilisa,triliza,Plievkohlávok,proper
Trimeniaceae,triméniovité,Trimeniovité,diacritics
Trimezia,trimézia,Neomarika,proper
Turbinicarpus,turbinikarpus,Kadenikarpus,proper
Turritis glabra,strmobyľ holá,Arábka Strmobyľová,proper
Ulmus laevis,brest lužný,Brest Väzový,proper
Ulmus pumila,brest drobnolistý,Brest Sibírsky,proper
Utricularia bremii,bublinatka Bremiho,Bublinatka Bremova,proper
Utricularia minor,bublinatka menšia,Bublinatka Najmenšia,proper
Uvaria,uvária,Medolist,proper
Vaccaria hispanica,kraviarka ihlanovitá,Gypsomilka Kraviarkovitá,proper
Vaccinium myrtillus,čučoriedka obyčajná,Brusnica Čučoriedková,proper
Valeriana rubra,valeriána červená,Centrant Červený,proper
Verbascum chaixii,divozel Chaixov,Divozel Južný,proper
Verbascum phoeniceum,divozel fialový,Divozel Tmavočervený,proper
Veronica austriaca,veronika rakúska,Veronika Hrdobarkovitá,proper
Veronica filiformis,veronika niťovitá,Veronika Nitkovitá,proper
Veronica longifolia,veronika dlholistá,Veronika Prímorská,proper
Veronica prostrata,veronika rozprestretá,Veronika Rozprestrená,proper
Viburnum lantana,kalina plstnatá,Kalina Siripútková,proper
Viburnum rhytidophyllum,kalina vráskavolistá,Kalina Vráskolistá,proper
Vicia dalmatica,vika dalmátska,Vika Dalmatská,diacritics
Vicia oreophila,vika horská,Vika Vtáčia,proper
Vicia,"vika, bôb",Vika,proper
Viola elatior,fialka vyvýšená,Fialka Vyššia,proper
Wisteria floribunda,vistéria japonská,Vistéria Kvetnatá,proper
Withania,vitánia,Machovkovec,proper
Wolffia arrhiza,drobnuľka bezkoreňová,Drobuľka Bezkoreňová,proper
Xanthium albinum,voškovník polabský,Voškovník Pobrežný,proper
Xanthium italicum,voškovník taliansky,Voškovník Talianský,diacritics
Xerochrysum bracteatum,slamienka listenatá,Slamiha Slamienková,proper
Zephyranthes,zefyrovka,Sprekélia,proper
