rank,sciName,matches
subspecies,Phaseolus maculatus ritensis,"[('Phaseolus ritensis (Phaseolus maculatus ritensis)', 'Druh')]"
subspecies,Pilosella bauhini bauhini,"[('Chlpánik Bauhinov (Pilosella bauhini bauhini)', 'Pilosella bauhini')]"
subspecies,Pilosella bauhini magyarica,"[('Chlpánik Bauhinov (Pilosella bauhini magyarica)', 'Pilosella bauhini')]"
subspecies,Pinus brutia brutia,"[('Pinus brutia brutia', 'Varieta')]"
subspecies,Pinus brutia eldarica,"[('Pinus brutia eldarica', 'Varieta')]"
subspecies,Pinus brutia pityusa,"[('Pinus brutia pityusa', 'Varieta')]"
subspecies,Poa bulbosa bulbosa,"[('Lipnica Cibuľkatá (Poa bulbosa bulbosa)', 'Poa bulbosa')]"
subspecies,Polypodium cambricum cambricum,"[('Sladič Južný (Polypodium cambricum cambricum)', 'Polypodium cambricum')]"
subspecies,Portulaca oleracea oleracea,"[('Portulaca oleracea oleracea', 'Varieta')]"
subspecies,Portulaca oleracea sativa,"[('Portulaca oleracea sativa', 'Varieta')]"
